Name,Location,Latitude,Longitude,CI_cyano(CyAN),CI_cyano(S3),CI_cyano(PACE)
pin_96,Lake Erie,41.737416,-83.070358,0.010637986,0.009190296,0.005411367
pin_97,Lake Erie,41.762044,-82.984159,0.001699446,0.001309214,0.001739974
pin_98,Lake Erie,41.737416,-82.996473,0.001133959,0.001263214,0.001096267
pin_99,Lake Erie,41.725101,-83.008787,0.002108722,0.001227468,0.001227626
pin_100,Lake Erie,41.725101,-83.021101,1.50E-04,9.43E-04,0.001227626
pin_101,Lake Erie,41.74973,-82.95953,7.77E-04,1.41E-04,1.69E-05
pin_102,Lake Erie,41.725101,-82.984159,2.25E-04,0.001030325,0.0010975
pin_103,Lake Erie,41.700473,-83.008787,0.001369606,0.001495185,0.001060282
pin_104,Lake Erie,41.725101,-82.947216,0.001074408,3.83E-04,3.50E-04
pin_1,Green Bay,44.553802,-88.004967,0.007696469,0.006125915,0.006828312
pin_2,Green Bay,44.566237,-87.992532,0.00672545,0.005843703,0.006619348
pin_3,Green Bay,44.578671,-87.980098,0.007906886,0.007308319,0.006985082
pin_4,Green Bay,44.591106,-87.967663,0.008345136,0.008277562,0.008335116
pin_5,Green Bay,44.60354,-87.955229,0.007491647,0.007016322,0.007005372
pin_6,Green Bay,44.615975,-87.942794,0.009048475,0.008365841,0.006373012
pin_7,Green Bay,44.628409,-87.93036,0.008123056,0.007554183,0.007460765
pin_8,Green Bay,44.640844,-87.917925,0.006909321,0.006588173,0.007059999
pin_9,Green Bay,44.653278,-87.905491,0.006037615,0.005761541,0.005741823
pin_10,Green Bay,44.553802,-87.992532,0.00672545,0.00606081,0.006378757
pin_11,Green Bay,44.566237,-87.980098,0.00729228,0.006668658,0.007221024
pin_12,Green Bay,44.578671,-87.967663,0.009295856,0.009689436,0.00927991
pin_13,Green Bay,44.591106,-87.955229,0.00729228,0.007401281,0.008335116
pin_14,Green Bay,44.60354,-87.942794,0.009048475,0.008713261,0.007005372
pin_15,Green Bay,44.615975,-87.93036,0.010354889,0.008910825,0.009282437
pin_16,Green Bay,44.628409,-87.917925,0.008345136,0.007567392,0.007636558
pin_17,Green Bay,44.640844,-87.905491,0.009048475,0.007822698,0.007446921
pin_18,Green Bay,44.653278,-87.893056,0.00361659,0.003784389,0.005311692
pin_19,Green Bay,44.541368,-87.992532,0.008807678,0.005953079,0.008020806
pin_20,Green Bay,44.553802,-87.980098,0.007906886,0.006683406,0.006378757
pin_21,Green Bay,44.566237,-87.967663,0.012173892,0.009684118,0.007221024
pin_22,Green Bay,44.578671,-87.955229,0.010637986,0.010335237,0.00927991
pin_23,Green Bay,44.591106,-87.942794,0.011534568,0.009869974,0.009329136
pin_24,Green Bay,44.60354,-87.93036,0.016378848,0.016498229,0.010899128
pin_25,Green Bay,44.615975,-87.917925,0.012173892,0.011002705,0.011003898
pin_26,Green Bay,44.628409,-87.905491,0.009295856,0.008711942,0.009110196
pin_27,Green Bay,44.640844,-87.893056,0.006372259,0.005906585,0.007381188
pin_28,Green Bay,44.653278,-87.880622,0.004998818,0.004626539,0.007381188
pin_29,Green Bay,44.653278,-87.868187,0.006202681,0.005872192,0.006739043
pin_30,Green Bay,44.640844,-87.880622,0.007098218,0.006125247,0.007350403
pin_31,Green Bay,44.628409,-87.893056,0.007906886,0.007275081,0.011614172
pin_32,Green Bay,44.615975,-87.905491,0.011849921,0.011591816,0.014199639
pin_33,Green Bay,44.60354,-87.917925,0.019256057,0.018827589,0.013061867
pin_34,Green Bay,44.591106,-87.93036,0.014312432,0.016442457,0.01318295
pin_35,Green Bay,44.578671,-87.942794,0.011849921,0.011491151,0.010059468
pin_36,Green Bay,44.566237,-87.955229,0.008345136,0.007166076,0.008809662
pin_37,Green Bay,44.553802,-87.967663,0.009295856,0.009064804,0.006987565
pin_38,Green Bay,44.541368,-87.980098,0.008345136,0.007789696,0.008020806
pin_39,Green Bay,44.553802,-87.955229,0.00955,0.009185087,0.006755873
pin_40,Green Bay,44.566237,-87.942794,0.008573288,0.007247998,0.00672156
pin_41,Green Bay,44.578671,-87.93036,0.013560802,0.012344406,0.009278799
pin_42,Green Bay,44.591106,-87.917925,0.013199923,0.013325284,0.010410219
pin_43,Green Bay,44.60354,-87.905491,0.011849921,0.010556956,0.013061867
pin_44,Green Bay,44.615975,-87.893056,0.013199923,0.012298559,0.014199639
pin_45,Green Bay,44.615975,-87.880622,0.008807678,0.007638426,0.010662527
pin_46,Green Bay,44.628409,-87.868187,0.009048475,0.007352378,0.008981137
pin_47,Green Bay,44.640844,-87.868187,0.006546473,0.00551438,0.007637859
pin_48,Green Bay,44.640844,-87.855753,0.008573288,0.009147835,0.008381758
pin_49,Green Bay,44.653278,-87.855753,0.00672545,0.006718887,0.006007268
pin_50,Green Bay,44.653278,-87.843318,0.00729228,0.006880323,0.006007268
pin_51,Green Bay,44.653278,-87.830884,0.007098218,0.006698215,0.006007702
pin_52,Green Bay,44.640844,-87.843318,0.007491647,0.004962077,0.008381758
pin_53,Green Bay,44.628409,-87.855753,0.007906886,0.00794767,0.008981137
pin_54,Green Bay,44.60354,-87.893056,0.010637986,0.010277852,0.011623259
pin_55,Green Bay,44.591106,-87.905491,0.015105719,0.013466474,0.012364079
pin_56,Green Bay,44.578671,-87.917925,0.013560802,0.012825771,0.009278799
pin_57,Green Bay,44.566237,-87.93036,0.006909321,0.006323988,0.00672156
pin_58,Green Bay,44.553802,-87.942794,0.013560802,0.012953364,0.0097713
pin_59,Green Bay,44.541368,-87.955229,0.010928823,0.010079127,0.011054428
pin_60,Green Bay,44.566237,-87.917925,0.01250672,0.011991197,0.008592316
pin_61,Green Bay,44.553802,-87.93036,0.014312432,0.013654045,0.0097713
pin_62,Green Bay,44.653278,-87.806015,0.00729228,0.006837989,0.006200956
pin_63,Green Bay,44.653278,-87.818449,0.005420127,0.004883426,0.005357645
pin_64,Green Bay,44.653278,-87.79358,0.00955,0.009180287,0.006574867
pin_65,Green Bay,44.653278,-87.781146,0.005720546,0.004394324,0.005737575
pin_66,Green Bay,44.578671,-87.992532,0.008123056,0.008220116,0.006025102
pin_67,Green Bay,44.578671,-88.004967,0.007098218,0.006676923,0.007980268
pin_68,Green Bay,44.591106,-87.992532,0.006909321,0.006625483,0.007003696
pin_69,Green Bay,44.591106,-88.004967,0.007098218,0.006585415,0.006813604
pin_70,Green Bay,44.615975,-87.955229,0.006372259,0.006095112,0.006373012
pin_71,Green Bay,44.628409,-87.942794,0.006372259,0.006522166,0.007460765
pin_72,Green Bay,44.640844,-87.93036,0.005420127,0.005759894,0.007059999
pin_73,Green Bay,44.653278,-87.917925,0.005275885,0.00411847,0.005043791
pin_1,Green Bay,44.569538,-88.000873,0.010928823,0.010511299,0.012749442
pin_2,Green Bay,44.581888,-87.988524,0.007696469,0.007594761,0.00824716
pin_3,Green Bay,44.594238,-87.976174,0.007906886,0.007967189,0.007968742
pin_4,Green Bay,44.606587,-87.963824,0.008573288,0.008397692,0.009096466
pin_5,Green Bay,44.618937,-87.951474,0.00672545,0.006678589,0.009377037
pin_6,Green Bay,44.631287,-87.939124,0.006202681,0.006189042,0.006551058
pin_7,Green Bay,44.643637,-87.926774,0.006202681,0.005817099,0.006046786
pin_8,Green Bay,44.655987,-87.914424,0.007491647,0.007079773,0.008326505
pin_9,Green Bay,44.668337,-87.902075,0.007098218,0.006412469,0.006241798
pin_10,Green Bay,44.680687,-87.889725,0.005275885,0.004906374,0.004542025
pin_11,Green Bay,44.693036,-87.877375,0.002286448,0.003219237,0.003419727
pin_12,Green Bay,44.705386,-87.865025,0.002837092,0.002195475,0.002300597
pin_13,Green Bay,44.569538,-87.988524,0.011849921,0.012027711,0.010895405
pin_14,Green Bay,44.581888,-87.976174,0.007491647,0.00843313,0.00824716
pin_15,Green Bay,44.594238,-87.963824,0.009811092,0.009212615,0.008844273
pin_16,Green Bay,44.606587,-87.951474,0.011849921,0.011450309,0.012174777
pin_17,Green Bay,44.618937,-87.939124,0.00955,0.009147485,0.009561512
pin_18,Green Bay,44.631287,-87.926774,0.007491647,0.006384055,0.006551058
pin_19,Green Bay,44.643637,-87.914424,0.006909321,0.00691744,0.0096494
pin_20,Green Bay,44.655987,-87.902075,0.007491647,0.007121416,0.007569583
pin_21,Green Bay,44.668337,-87.889725,0.004251904,0.005411251,0.006241798
pin_22,Green Bay,44.680687,-87.877375,0.004998818,0.004191729,0.004542025
pin_23,Green Bay,44.693036,-87.865025,0.003715466,0.003556949,0.003554982
pin_24,Green Bay,44.544838,-88.000873,0.014703726,0.014080036,0.014101277
pin_25,Green Bay,44.557188,-87.988524,0.011534568,0.012118761,0.014198978
pin_26,Green Bay,44.569538,-87.976174,0.011849921,0.011883125,0.010895405
pin_27,Green Bay,44.581888,-87.963824,0.007491647,0.009356108,0.009752626
pin_28,Green Bay,44.594238,-87.951474,0.008573288,0.009925546,0.010803462
pin_29,Green Bay,44.606587,-87.939124,0.011849921,0.010843963,0.012174777
pin_30,Green Bay,44.618937,-87.926774,0.009295856,0.00850566,0.009561512
pin_31,Green Bay,44.631287,-87.914424,0.010079325,0.009571151,0.010405738
pin_32,Green Bay,44.643637,-87.902075,0.008573288,0.008616311,0.008000607
pin_33,Green Bay,44.655987,-87.877375,0.006372259,0.006200703,0.006184244
pin_34,Green Bay,44.668337,-87.865025,0.004028612,0.004407054,0.005565452
pin_35,Green Bay,44.680687,-87.852675,0.003160308,0.003604822,0.004856185
pin_36,Green Bay,44.544838,-87.976174,0.015942976,0.01441302,0.013335054
pin_37,Green Bay,44.557188,-87.963824,0.013560802,0.012411509,0.015236609
pin_38,Green Bay,44.569538,-87.963824,0.009295856,0.008448909,0.009651299
pin_39,Green Bay,44.581888,-87.939124,0.010354889,0.009332404,0.009254986
pin_40,Green Bay,44.594238,-87.926774,0.010354889,0.010428588,0.00806057
pin_41,Green Bay,44.606587,-87.914424,0.008345136,0.007612709,0.006502339
pin_42,Green Bay,44.618937,-87.902075,0.010928823,0.009904359,0.010550579
pin_43,Green Bay,44.631287,-87.889725,0.007696469,0.007083137,0.007836354
pin_44,Green Bay,44.643637,-87.877375,0.006202681,0.005309928,0.005398912
pin_45,Green Bay,44.655987,-87.865025,0.00486579,0.00519075,0.006184244
pin_46,Green Bay,44.668337,-87.852675,0.004138752,0.004494939,0.005565452
pin_47,Green Bay,44.680687,-87.840325,0.002616564,0.003996735,0.004612062
pin_48,Green Bay,44.680687,-87.827975,0.003246709,0.00345167,0.004612062
pin_49,Green Bay,44.668337,-87.840325,0.004487572,0.004598521,0.005113155
pin_50,Green Bay,44.655987,-87.852675,0.00486579,0.004383625,0.005211618
pin_51,Green Bay,44.643637,-87.865025,0.005420127,0.004663603,0.005398912
pin_52,Green Bay,44.631287,-87.877375,0.006037615,0.006116977,0.005331059
pin_53,Green Bay,44.631287,-87.877375,0.006037615,0.006116977,0.005331059
pin_54,Green Bay,44.618937,-87.889725,0.007098218,0.006907224,0.006633848
pin_55,Green Bay,44.606587,-87.902075,0.00729228,0.006646802,0.006502339
pin_56,Green Bay,44.594238,-87.914424,0.008123056,0.007520075,0.00806057
pin_57,Green Bay,44.581888,-87.914424,0.009811092,0.008820595,0.009075526
